Email Subject,Email Body,Time Sent,Response Time,Level,Engagement score
Follow Up,We would appreciate your feedback on our recent collaboration.,2023-07-01 23:43:00,2023-07-02 02:43:00,Hot,99
Follow Up,Check out our latest product offerings that might interest you.,2023-08-07 03:47:00,2023-08-07 10:47:00,High,65
Partnership Proposal,We would love to discuss a potential partnership. Let's connect!,2023-07-15 23:35:00,2023-07-17 07:35:00,Cold,18
Special Offer,Check out our latest product offerings that might interest you.,2023-10-27 08:53:00,2023-10-27 09:53:00,Hot,100
Partnership Proposal,Attached is the monthly report. Please review it and share feedback.,2023-05-19 16:51:00,2023-05-19 23:51:00,High,82
Product Offering,Join our upcoming webinar on industry trends. Register now!,2023-03-03 23:18:00,2023-03-04 08:18:00,High,68
Contract Renewal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-10-12 01:19:00,2023-10-12 11:19:00,High,61
Meeting Request,Here is an update on the project progress. Let us know your thoughts.,2023-12-05 09:49:00,2023-12-05 17:49:00,High,94
Feedback Request,Check out our latest product offerings that might interest you.,2023-03-28 10:03:00,2023-03-30 22:03:00,Cold,79
Project Update,Here is an update on the project progress. Let us know your thoughts.,2023-09-02 21:58:00,2023-09-03 01:58:00,Hot,98
Follow Up,Check out our latest product offerings that might interest you.,2023-04-16 11:27:00,2023-04-16 16:27:00,Hot,80
Webinar Invitation,I am following up on our last conversation. Let me know if you need anything.,2023-08-18 10:03:00,2023-08-18 13:03:00,Hot,84
Project Update,We would appreciate your feedback on our recent collaboration.,2023-11-01 17:07:00,2023-11-01 23:07:00,High,95
Product Offering,I am following up on our last conversation. Let me know if you need anything.,2023-09-07 17:47:00,2023-09-07 23:47:00,High,91
Contract Renewal,Here is an update on the project progress. Let us know your thoughts.,2023-08-28 00:13:00,2023-08-29 22:13:00,Cold,29
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-01-07 14:05:00,2023-01-08 01:05:00,High,97
Monthly Report,We would love to discuss a potential partnership. Let's connect!,2023-03-22 11:29:00,2023-03-24 21:29:00,Cold,30
Monthly Report,I am following up on our last conversation. Let me know if you need anything.,2023-07-16 08:37:00,2023-07-16 09:37:00,Hot,75
Contract Renewal,Join our upcoming webinar on industry trends. Register now!,2023-11-11 10:54:00,2023-11-11 15:54:00,Hot,98
Monthly Report,We would appreciate your feedback on our recent collaboration.,2023-02-04 04:34:00,2023-02-06 05:34:00,Cold,19
Contract Renewal,Check out our latest product offerings that might interest you.,2023-12-11 14:41:00,2023-12-11 19:41:00,Hot,73
Partnership Proposal,Check out our latest product offerings that might interest you.,2023-05-11 05:49:00,2023-05-13 00:49:00,Cold,83
Monthly Report,We would love to discuss a potential partnership. Let's connect!,2023-09-06 13:34:00,2023-09-07 00:34:00,High,62
Feedback Request,Join our upcoming webinar on industry trends. Register now!,2023-02-06 03:16:00,2023-02-08 10:16:00,Cold,86
Follow Up,I am following up on our last conversation. Let me know if you need anything.,2023-02-09 18:57:00,2023-02-11 00:57:00,Cold,55
Partnership Proposal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-06-29 12:42:00,2023-06-29 23:42:00,High,72
Webinar Invitation,We would love to discuss a potential partnership. Let's connect!,2023-10-22 23:29:00,2023-10-23 07:29:00,High,84
Meeting Request,We would appreciate your feedback on our recent collaboration.,2023-10-04 18:12:00,2023-10-05 05:12:00,High,87
Product Offering,Join our upcoming webinar on industry trends. Register now!,2023-08-11 08:57:00,2023-08-11 09:57:00,Hot,97
Special Offer,Join our upcoming webinar on industry trends. Register now!,2023-06-27 07:17:00,2023-06-29 00:17:00,Cold,5
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-05-14 12:57:00,2023-05-17 03:57:00,Cold,79
Follow Up,Join our upcoming webinar on industry trends. Register now!,2023-05-05 00:29:00,2023-05-05 04:29:00,Hot,75
Partnership Proposal,We would love to discuss a potential partnership. Let's connect!,2023-02-04 22:36:00,2023-02-05 00:36:00,Hot,91
Product Offering,Check out our latest product offerings that might interest you.,2023-01-03 14:33:00,2023-01-05 13:33:00,Cold,91
Contract Renewal,I am following up on our last conversation. Let me know if you need anything.,2023-01-12 04:22:00,2023-01-13 14:22:00,Cold,19
Partnership Proposal,Don't miss out on our special discount offers this week!,2023-07-25 06:04:00,2023-07-25 17:04:00,High,91
Monthly Report,Your contract renewal is coming up. Let's schedule a discussion.,2023-05-24 13:42:00,2023-05-25 01:42:00,High,77
Meeting Request,Don't miss out on our special discount offers this week!,2023-01-03 03:33:00,2023-01-03 05:33:00,Hot,88
Meeting Request,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-14 22:53:00,2023-03-15 03:53:00,Hot,78
Partnership Proposal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-11-05 00:08:00,2023-11-05 08:08:00,High,92
Special Offer,We would appreciate your feedback on our recent collaboration.,2023-08-23 21:06:00,2023-08-24 00:06:00,Hot,64
Contract Renewal,Here is an update on the project progress. Let us know your thoughts.,2023-11-11 02:00:00,2023-11-11 06:00:00,Hot,84
Meeting Request,Here is an update on the project progress. Let us know your thoughts.,2023-03-23 00:47:00,2023-03-23 05:47:00,Hot,90
Feedback Request,We would love to discuss a potential partnership. Let's connect!,2023-03-21 20:09:00,2023-03-22 05:09:00,High,71
Follow Up,Join our upcoming webinar on industry trends. Register now!,2023-11-02 00:31:00,2023-11-02 02:31:00,Hot,91
Partnership Proposal,We would appreciate your feedback on our recent collaboration.,2023-07-01 17:39:00,2023-07-01 22:39:00,Hot,93
Product Offering,"Hello, we would like to schedule a meeting to discuss your needs.",2023-06-30 10:10:00,2023-06-30 11:10:00,Hot,65
Monthly Report,We would appreciate your feedback on our recent collaboration.,2023-07-17 21:15:00,2023-07-17 22:15:00,Hot,64
Partnership Proposal,Here is an update on the project progress. Let us know your thoughts.,2023-10-16 23:07:00,2023-10-17 11:07:00,High,95
Follow Up,Attached is the monthly report. Please review it and share feedback.,2023-08-06 01:20:00,2023-08-06 12:20:00,High,97
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-09-16 14:45:00,2023-09-18 00:45:00,Cold,17
Partnership Proposal,We would appreciate your feedback on our recent collaboration.,2023-03-30 01:41:00,2023-03-30 04:41:00,Hot,89
Webinar Invitation,Join our upcoming webinar on industry trends. Register now!,2023-12-14 11:57:00,2023-12-15 17:57:00,Cold,25
Special Offer,Don't miss out on our special discount offers this week!,2023-06-21 06:09:00,2023-06-21 17:09:00,High,97
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-05-20 17:42:00,2023-05-21 01:42:00,High,87
Special Offer,"Hello, we would like to schedule a meeting to discuss your needs.",2023-04-14 20:35:00,2023-04-15 22:35:00,Cold,98
Webinar Invitation,I am following up on our last conversation. Let me know if you need anything.,2023-12-05 11:12:00,2023-12-06 21:12:00,Cold,1
Project Update,Here is an update on the project progress. Let us know your thoughts.,2023-05-15 04:42:00,2023-05-15 10:42:00,High,83
Feedback Request,Check out our latest product offerings that might interest you.,2023-03-05 15:41:00,2023-03-05 20:41:00,Hot,83
Project Update,Join our upcoming webinar on industry trends. Register now!,2023-04-08 13:36:00,2023-04-08 14:36:00,Hot,65
Feedback Request,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-27 02:07:00,2023-03-29 22:07:00,Cold,73
Product Offering,Don't miss out on our special discount offers this week!,2023-01-06 16:38:00,2023-01-07 00:38:00,High,81
Webinar Invitation,"Hello, we would like to schedule a meeting to discuss your needs.",2023-10-30 12:32:00,2023-10-30 14:32:00,Hot,62
Monthly Report,Here is an update on the project progress. Let us know your thoughts.,2023-06-17 00:03:00,2023-06-17 10:03:00,High,65
Meeting Request,We would appreciate your feedback on our recent collaboration.,2023-05-07 09:34:00,2023-05-09 05:34:00,Cold,99
Feedback Request,We would appreciate your feedback on our recent collaboration.,2023-03-28 21:55:00,2023-03-30 07:55:00,Cold,99
Monthly Report,We would love to discuss a potential partnership. Let's connect!,2023-05-10 22:12:00,2023-05-11 05:12:00,High,72
Feedback Request,Your contract renewal is coming up. Let's schedule a discussion.,2023-08-09 10:12:00,2023-08-09 14:12:00,Hot,64
Monthly Report,Your contract renewal is coming up. Let's schedule a discussion.,2023-12-31 08:18:00,2023-12-31 12:18:00,Hot,91
Feedback Request,Don't miss out on our special discount offers this week!,2023-05-22 04:38:00,2023-05-24 05:38:00,Cold,45
Project Update,Attached is the monthly report. Please review it and share feedback.,2023-09-02 23:56:00,2023-09-03 01:56:00,Hot,82
Feedback Request,Don't miss out on our special discount offers this week!,2023-06-11 05:31:00,2023-06-11 08:31:00,Hot,85
Partnership Proposal,Here is an update on the project progress. Let us know your thoughts.,2023-10-20 07:18:00,2023-10-20 10:18:00,Hot,74
Monthly Report,Attached is the monthly report. Please review it and share feedback.,2023-07-11 21:11:00,2023-07-13 04:11:00,Cold,96
Special Offer,We would love to discuss a potential partnership. Let's connect!,2023-11-07 00:29:00,2023-11-07 09:29:00,High,92
Product Offering,Here is an update on the project progress. Let us know your thoughts.,2023-07-01 11:38:00,2023-07-03 06:38:00,Cold,0
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-09-01 12:31:00,2023-09-03 01:31:00,Cold,26
Follow Up,We would love to discuss a potential partnership. Let's connect!,2023-06-12 11:22:00,2023-06-12 15:22:00,Hot,76
Project Update,We would love to discuss a potential partnership. Let's connect!,2023-02-26 14:48:00,2023-02-28 12:48:00,Cold,69
Project Update,"Hello, we would like to schedule a meeting to discuss your needs.",2023-02-22 09:50:00,2023-02-22 13:50:00,Hot,66
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-10-03 16:13:00,2023-10-04 03:13:00,High,73
Feedback Request,Attached is the monthly report. Please review it and share feedback.,2023-02-09 05:31:00,2023-02-11 03:31:00,Cold,69
Monthly Report,I am following up on our last conversation. Let me know if you need anything.,2023-07-10 12:59:00,2023-07-11 13:59:00,Cold,92
Project Update,I am following up on our last conversation. Let me know if you need anything.,2023-04-10 16:39:00,2023-04-11 04:39:00,High,99
Meeting Request,I am following up on our last conversation. Let me know if you need anything.,2023-07-26 15:05:00,2023-07-29 01:05:00,Cold,62
Follow Up,We would appreciate your feedback on our recent collaboration.,2023-09-30 21:04:00,2023-10-01 00:04:00,Hot,80
Webinar Invitation,We would love to discuss a potential partnership. Let's connect!,2023-11-16 01:30:00,2023-11-18 07:30:00,Cold,30
Product Offering,Attached is the monthly report. Please review it and share feedback.,2023-06-30 03:09:00,2023-06-30 05:09:00,Hot,69
Webinar Invitation,I am following up on our last conversation. Let me know if you need anything.,2023-07-28 11:36:00,2023-07-30 16:36:00,Cold,8
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-08-21 11:10:00,2023-08-21 20:10:00,High,81
Project Update,We would love to discuss a potential partnership. Let's connect!,2023-09-12 03:32:00,2023-09-12 14:32:00,High,99
Project Update,Check out our latest product offerings that might interest you.,2023-12-22 02:39:00,2023-12-24 10:39:00,Cold,3
Follow Up,Don't miss out on our special discount offers this week!,2023-07-15 22:26:00,2023-07-16 00:26:00,Hot,91
Meeting Request,I am following up on our last conversation. Let me know if you need anything.,2023-10-24 11:26:00,2023-10-24 19:26:00,High,82
Project Update,Don't miss out on our special discount offers this week!,2023-08-01 01:52:00,2023-08-01 02:52:00,Hot,95
Project Update,Your contract renewal is coming up. Let's schedule a discussion.,2023-03-30 09:41:00,2023-03-30 18:41:00,High,78
Contract Renewal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-11-18 16:09:00,2023-11-21 00:09:00,Cold,50
Project Update,Attached is the monthly report. Please review it and share feedback.,2023-12-19 20:43:00,2023-12-22 14:43:00,Cold,72
Project Update,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-24 18:00:00,2023-03-25 03:00:00,High,63
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-06-13 08:22:00,2023-06-13 19:22:00,High,67
Partnership Proposal,Check out our latest product offerings that might interest you.,2023-12-09 14:32:00,2023-12-09 19:32:00,Hot,88
Product Offering,"Hello, we would like to schedule a meeting to discuss your needs.",2023-10-31 23:47:00,2023-11-01 03:47:00,Hot,70
Contract Renewal,I am following up on our last conversation. Let me know if you need anything.,2023-03-15 15:39:00,2023-03-16 02:39:00,High,78
Partnership Proposal,Join our upcoming webinar on industry trends. Register now!,2023-05-29 11:56:00,2023-05-30 21:56:00,Cold,50
Follow Up,Join our upcoming webinar on industry trends. Register now!,2023-08-17 22:45:00,2023-08-19 00:45:00,Cold,53
Follow Up,We would appreciate your feedback on our recent collaboration.,2023-02-15 03:34:00,2023-02-15 05:34:00,Hot,68
Webinar Invitation,We would appreciate your feedback on our recent collaboration.,2023-01-30 14:34:00,2023-01-30 20:34:00,High,68
Feedback Request,Attached is the monthly report. Please review it and share feedback.,2023-01-23 12:46:00,2023-01-25 16:46:00,Cold,26
Meeting Request,Don't miss out on our special discount offers this week!,2023-12-08 10:45:00,2023-12-11 00:45:00,Cold,64
Partnership Proposal,We would love to discuss a potential partnership. Let's connect!,2023-01-15 09:57:00,2023-01-15 11:57:00,Hot,68
Special Offer,Here is an update on the project progress. Let us know your thoughts.,2023-06-17 09:31:00,2023-06-17 10:31:00,Hot,68
Follow Up,Join our upcoming webinar on industry trends. Register now!,2023-01-19 18:08:00,2023-01-20 06:08:00,High,86
Contract Renewal,We would appreciate your feedback on our recent collaboration.,2023-01-07 09:50:00,2023-01-07 21:50:00,High,78
Partnership Proposal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-07-24 12:58:00,2023-07-24 15:58:00,Hot,96
Follow Up,We would appreciate your feedback on our recent collaboration.,2023-12-20 08:49:00,2023-12-20 12:49:00,Hot,78
Product Offering,Attached is the monthly report. Please review it and share feedback.,2023-10-04 12:13:00,2023-10-04 17:13:00,Hot,75
Feedback Request,Your contract renewal is coming up. Let's schedule a discussion.,2023-07-31 14:45:00,2023-07-31 22:45:00,High,64
Webinar Invitation,Don't miss out on our special discount offers this week!,2023-10-30 04:26:00,2023-10-30 10:26:00,High,100
Project Update,Don't miss out on our special discount offers this week!,2023-04-11 23:48:00,2023-04-14 21:48:00,Cold,37
Project Update,Your contract renewal is coming up. Let's schedule a discussion.,2023-10-13 05:40:00,2023-10-16 05:40:00,Cold,5
Partnership Proposal,Join our upcoming webinar on industry trends. Register now!,2023-01-12 08:44:00,2023-01-12 09:44:00,Hot,74
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-11-20 07:58:00,2023-11-20 17:58:00,High,82
Partnership Proposal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-28 06:14:00,2023-03-28 09:14:00,Hot,88
Partnership Proposal,Check out our latest product offerings that might interest you.,2023-06-07 05:02:00,2023-06-07 08:02:00,Hot,66
Webinar Invitation,Your contract renewal is coming up. Let's schedule a discussion.,2023-01-15 18:32:00,2023-01-18 12:32:00,Cold,68
Project Update,Your contract renewal is coming up. Let's schedule a discussion.,2023-07-07 20:08:00,2023-07-08 07:08:00,High,69
Monthly Report,Don't miss out on our special discount offers this week!,2023-04-03 03:22:00,2023-04-03 15:22:00,High,65
Product Offering,Here is an update on the project progress. Let us know your thoughts.,2023-02-02 02:42:00,2023-02-04 11:42:00,Cold,88
Project Update,Don't miss out on our special discount offers this week!,2023-11-09 23:15:00,2023-11-10 11:15:00,High,60
Follow Up,Join our upcoming webinar on industry trends. Register now!,2023-10-01 03:14:00,2023-10-03 20:14:00,Cold,89
Partnership Proposal,We would love to discuss a potential partnership. Let's connect!,2023-05-11 15:19:00,2023-05-11 17:19:00,Hot,91
Project Update,Here is an update on the project progress. Let us know your thoughts.,2023-06-08 09:50:00,2023-06-08 10:50:00,Hot,91
Webinar Invitation,Attached is the monthly report. Please review it and share feedback.,2023-12-08 05:29:00,2023-12-08 14:29:00,High,96
Partnership Proposal,We would love to discuss a potential partnership. Let's connect!,2023-12-12 04:15:00,2023-12-12 07:15:00,Hot,61
Project Update,"Hello, we would like to schedule a meeting to discuss your needs.",2023-11-04 13:35:00,2023-11-05 00:35:00,High,95
Monthly Report,Check out our latest product offerings that might interest you.,2023-09-16 19:23:00,2023-09-19 11:23:00,Cold,49
Follow Up,"Hello, we would like to schedule a meeting to discuss your needs.",2023-09-17 02:05:00,2023-09-17 03:05:00,Hot,100
Contract Renewal,Don't miss out on our special discount offers this week!,2023-08-14 07:02:00,2023-08-17 07:02:00,Cold,91
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-01-08 02:57:00,2023-01-08 12:57:00,High,65
Contract Renewal,Your contract renewal is coming up. Let's schedule a discussion.,2023-01-22 12:06:00,2023-01-24 13:06:00,Cold,79
Project Update,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-20 17:42:00,2023-03-22 07:42:00,Cold,7
Webinar Invitation,Here is an update on the project progress. Let us know your thoughts.,2023-02-16 05:10:00,2023-02-16 06:10:00,Hot,81
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-09-07 15:48:00,2023-09-10 03:48:00,Cold,69
Webinar Invitation,Here is an update on the project progress. Let us know your thoughts.,2023-06-11 13:19:00,2023-06-11 15:19:00,Hot,96
Meeting Request,Join our upcoming webinar on industry trends. Register now!,2023-08-08 15:55:00,2023-08-08 23:55:00,High,64
Webinar Invitation,Don't miss out on our special discount offers this week!,2023-03-17 07:17:00,2023-03-18 13:17:00,Cold,66
Monthly Report,Here is an update on the project progress. Let us know your thoughts.,2023-05-17 17:03:00,2023-05-19 03:03:00,Cold,38
Contract Renewal,We would appreciate your feedback on our recent collaboration.,2023-03-02 01:06:00,2023-03-02 06:06:00,Hot,68
Project Update,Don't miss out on our special discount offers this week!,2023-03-09 15:42:00,2023-03-09 22:42:00,High,80
Webinar Invitation,I am following up on our last conversation. Let me know if you need anything.,2023-05-08 17:54:00,2023-05-09 01:54:00,High,60
Partnership Proposal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-08-19 06:18:00,2023-08-19 08:18:00,Hot,61
Webinar Invitation,"Hello, we would like to schedule a meeting to discuss your needs.",2023-11-15 10:48:00,2023-11-15 19:48:00,High,88
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-18 04:59:00,2023-03-18 13:59:00,High,86
Partnership Proposal,Join our upcoming webinar on industry trends. Register now!,2023-06-10 07:58:00,2023-06-11 12:58:00,Cold,35
Product Offering,Your contract renewal is coming up. Let's schedule a discussion.,2023-04-30 02:41:00,2023-05-02 06:41:00,Cold,35
Project Update,Check out our latest product offerings that might interest you.,2023-05-30 11:42:00,2023-05-30 23:42:00,High,75
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-11-16 12:35:00,2023-11-16 23:35:00,High,89
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-01-03 23:54:00,2023-01-05 03:54:00,Cold,92
Monthly Report,Don't miss out on our special discount offers this week!,2023-06-11 14:54:00,2023-06-14 04:54:00,Cold,43
Partnership Proposal,Check out our latest product offerings that might interest you.,2023-09-06 04:10:00,2023-09-08 11:10:00,Cold,58
Partnership Proposal,Your contract renewal is coming up. Let's schedule a discussion.,2023-06-03 17:00:00,2023-06-03 23:00:00,High,76
Partnership Proposal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-01-15 10:57:00,2023-01-15 21:57:00,High,62
Project Update,Attached is the monthly report. Please review it and share feedback.,2023-05-06 18:44:00,2023-05-06 21:44:00,Hot,95
Contract Renewal,Join our upcoming webinar on industry trends. Register now!,2023-09-26 02:22:00,2023-09-26 14:22:00,High,89
Product Offering,We would appreciate your feedback on our recent collaboration.,2023-10-06 05:25:00,2023-10-06 17:25:00,High,64
Contract Renewal,Join our upcoming webinar on industry trends. Register now!,2023-01-28 01:28:00,2023-01-28 11:28:00,High,76
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-06-03 01:31:00,2023-06-03 09:31:00,High,62
Partnership Proposal,Check out our latest product offerings that might interest you.,2023-03-10 20:51:00,2023-03-13 00:51:00,Cold,6
Special Offer,I am following up on our last conversation. Let me know if you need anything.,2023-07-13 01:31:00,2023-07-13 13:31:00,High,71
Feedback Request,We would appreciate your feedback on our recent collaboration.,2023-11-07 17:41:00,2023-11-10 00:41:00,Cold,94
Product Offering,Join our upcoming webinar on industry trends. Register now!,2023-01-22 01:07:00,2023-01-22 11:07:00,High,88
Webinar Invitation,We would love to discuss a potential partnership. Let's connect!,2023-04-21 19:39:00,2023-04-24 14:39:00,Cold,57
Webinar Invitation,We would love to discuss a potential partnership. Let's connect!,2023-02-01 17:27:00,2023-02-01 20:27:00,Hot,95
Special Offer,Your contract renewal is coming up. Let's schedule a discussion.,2023-06-25 19:45:00,2023-06-25 21:45:00,Hot,74
Webinar Invitation,Attached is the monthly report. Please review it and share feedback.,2023-02-03 18:22:00,2023-02-04 00:22:00,High,65
Special Offer,We would appreciate your feedback on our recent collaboration.,2023-06-20 16:13:00,2023-06-20 21:13:00,Hot,62
Partnership Proposal,Here is an update on the project progress. Let us know your thoughts.,2023-09-21 20:33:00,2023-09-21 21:33:00,Hot,69
Special Offer,We would appreciate your feedback on our recent collaboration.,2023-12-09 12:15:00,2023-12-11 17:15:00,Cold,59
Contract Renewal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-06-18 07:16:00,2023-06-18 09:16:00,Hot,87
Special Offer,Don't miss out on our special discount offers this week!,2023-07-23 03:16:00,2023-07-23 12:16:00,High,100
Project Update,Check out our latest product offerings that might interest you.,2023-07-31 08:48:00,2023-07-31 17:48:00,High,75
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-02-13 14:47:00,2023-02-13 19:47:00,Hot,100
Webinar Invitation,We would love to discuss a potential partnership. Let's connect!,2023-02-21 20:19:00,2023-02-21 22:19:00,Hot,71
Special Offer,Join our upcoming webinar on industry trends. Register now!,2023-11-23 20:42:00,2023-11-26 00:42:00,Cold,8
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-05-31 11:49:00,2023-05-31 20:49:00,High,76
Meeting Request,Attached is the monthly report. Please review it and share feedback.,2023-08-15 04:13:00,2023-08-15 08:13:00,Hot,99
Monthly Report,Check out our latest product offerings that might interest you.,2023-01-23 03:35:00,2023-01-23 14:35:00,High,74
Meeting Request,We would appreciate your feedback on our recent collaboration.,2023-08-10 22:55:00,2023-08-11 02:55:00,Hot,72
Follow Up,"Hello, we would like to schedule a meeting to discuss your needs.",2023-11-01 12:20:00,2023-11-01 15:20:00,Hot,71
Project Update,Join our upcoming webinar on industry trends. Register now!,2023-08-27 21:58:00,2023-08-28 08:58:00,High,63
Monthly Report,We would appreciate your feedback on our recent collaboration.,2023-10-05 01:34:00,2023-10-06 23:34:00,Cold,19
Product Offering,Here is an update on the project progress. Let us know your thoughts.,2023-07-16 20:06:00,2023-07-16 21:06:00,Hot,72
Webinar Invitation,Your contract renewal is coming up. Let's schedule a discussion.,2023-01-19 20:02:00,2023-01-19 22:02:00,Hot,92
Partnership Proposal,Join our upcoming webinar on industry trends. Register now!,2023-03-31 19:29:00,2023-04-01 04:29:00,High,81
Monthly Report,Here is an update on the project progress. Let us know your thoughts.,2023-06-12 04:07:00,2023-06-12 13:07:00,High,67
Webinar Invitation,Attached is the monthly report. Please review it and share feedback.,2023-09-06 16:07:00,2023-09-06 23:07:00,High,83
Contract Renewal,We would appreciate your feedback on our recent collaboration.,2023-03-12 19:30:00,2023-03-15 08:30:00,Cold,47
Meeting Request,Check out our latest product offerings that might interest you.,2023-10-30 14:27:00,2023-10-30 17:27:00,Hot,93
Partnership Proposal,We would appreciate your feedback on our recent collaboration.,2023-05-03 16:51:00,2023-05-06 11:51:00,Cold,49
Meeting Request,Attached is the monthly report. Please review it and share feedback.,2023-07-23 07:49:00,2023-07-25 09:49:00,Cold,58
Webinar Invitation,Join our upcoming webinar on industry trends. Register now!,2023-03-15 16:18:00,2023-03-16 22:18:00,Cold,96
Meeting Request,Join our upcoming webinar on industry trends. Register now!,2023-09-22 03:02:00,2023-09-22 11:02:00,High,79
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-06-03 09:46:00,2023-06-03 12:46:00,Hot,69
Monthly Report,Here is an update on the project progress. Let us know your thoughts.,2023-10-24 16:11:00,2023-10-25 03:11:00,High,93
Partnership Proposal,I am following up on our last conversation. Let me know if you need anything.,2023-07-09 16:38:00,2023-07-10 22:38:00,Cold,17
Feedback Request,Attached is the monthly report. Please review it and share feedback.,2023-12-01 14:32:00,2023-12-01 19:32:00,Hot,69
Follow Up,Attached is the monthly report. Please review it and share feedback.,2023-04-08 11:45:00,2023-04-08 16:45:00,Hot,66
Product Offering,Check out our latest product offerings that might interest you.,2023-11-17 01:56:00,2023-11-19 10:56:00,Cold,16
Contract Renewal,Join our upcoming webinar on industry trends. Register now!,2023-12-21 12:20:00,2023-12-21 21:20:00,High,67
Webinar Invitation,Check out our latest product offerings that might interest you.,2023-07-27 11:03:00,2023-07-27 20:03:00,High,64
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-02-12 21:53:00,2023-02-13 01:53:00,Hot,70
Meeting Request,Attached is the monthly report. Please review it and share feedback.,2023-01-28 12:57:00,2023-01-31 00:57:00,Cold,68
Meeting Request,Attached is the monthly report. Please review it and share feedback.,2023-06-30 23:39:00,2023-07-02 09:39:00,Cold,53
Contract Renewal,Join our upcoming webinar on industry trends. Register now!,2023-01-02 21:10:00,2023-01-03 08:10:00,High,82
Partnership Proposal,Here is an update on the project progress. Let us know your thoughts.,2023-01-03 19:38:00,2023-01-04 04:38:00,High,65
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-11 16:16:00,2023-03-11 18:16:00,Hot,68
Contract Renewal,Check out our latest product offerings that might interest you.,2023-06-11 21:50:00,2023-06-14 20:50:00,Cold,0
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-09-03 15:48:00,2023-09-03 20:48:00,Hot,97
Contract Renewal,We would appreciate your feedback on our recent collaboration.,2023-11-03 04:55:00,2023-11-06 03:55:00,Cold,18
Special Offer,Attached is the monthly report. Please review it and share feedback.,2023-12-08 07:44:00,2023-12-08 12:44:00,Hot,99
Webinar Invitation,"Hello, we would like to schedule a meeting to discuss your needs.",2023-10-17 09:14:00,2023-10-17 17:14:00,High,77
Special Offer,Join our upcoming webinar on industry trends. Register now!,2023-05-14 22:49:00,2023-05-15 01:49:00,Hot,78
Special Offer,Check out our latest product offerings that might interest you.,2023-09-11 08:03:00,2023-09-14 00:03:00,Cold,39
Feedback Request,Check out our latest product offerings that might interest you.,2023-10-08 08:21:00,2023-10-08 11:21:00,Hot,80
Meeting Request,I am following up on our last conversation. Let me know if you need anything.,2023-08-25 02:21:00,2023-08-25 11:21:00,High,90
Special Offer,Attached is the monthly report. Please review it and share feedback.,2023-06-30 10:00:00,2023-07-03 07:00:00,Cold,66
Webinar Invitation,Your contract renewal is coming up. Let's schedule a discussion.,2023-11-15 18:16:00,2023-11-16 06:16:00,High,66
Meeting Request,"Hello, we would like to schedule a meeting to discuss your needs.",2023-09-20 18:17:00,2023-09-22 20:17:00,Cold,7
Project Update,Your contract renewal is coming up. Let's schedule a discussion.,2023-08-06 07:01:00,2023-08-06 18:01:00,High,89
Special Offer,Attached is the monthly report. Please review it and share feedback.,2023-07-25 08:31:00,2023-07-25 10:31:00,Hot,93
Webinar Invitation,"Hello, we would like to schedule a meeting to discuss your needs.",2023-01-28 18:33:00,2023-01-28 22:33:00,Hot,88
Webinar Invitation,Here is an update on the project progress. Let us know your thoughts.,2023-09-18 18:11:00,2023-09-19 01:11:00,High,71
Contract Renewal,Here is an update on the project progress. Let us know your thoughts.,2023-10-11 20:44:00,2023-10-11 22:44:00,Hot,76
Feedback Request,We would appreciate your feedback on our recent collaboration.,2023-02-17 02:18:00,2023-02-17 06:18:00,Hot,98
